id,show_id,date_added,release_year
65,s65,"September 15, 2021",2021
66,s66,"September 15, 2021",2021
67,s67,"September 15, 2021",2014
68,s68,"September 15, 2021",1994
69,s69,"September 15, 2021",2021
70,s70,"September 15, 2021",2015
71,s71,"September 15, 2021",2021
72,s72,"September 14, 2021",2021
73,s73,"September 14, 2021",2021
74,s74,"September 14, 2021",2018
75,s75,"September 14, 2021",2021
76,s76,"September 14, 2021",2021
77,s77,"September 14, 2021",2013
78,s78,"September 11, 2021",2021
79,s79,"September 11, 2021",2020
80,s80,"September 11, 2021",2021
81,s81,"September 10, 2021",2021
82,s82,"September 10, 2021",2021
83,s83,"September 10, 2021",2021
84,s84,"September 10, 2021",2021
85,s85,"September 10, 2021",2020
86,s86,"September 10, 2021",2021
87,s87,"September 10, 2021",2021
88,s88,"September 10, 2021",2019
89,s89,"September 9, 2021",2021
90,s90,"September 9, 2021",2017
91,s91,"September 9, 2021",2019
92,s92,"September 9, 2021",2021
93,s93,"September 8, 2021",2021
94,s94,"September 8, 2021",2021
95,s95,"September 8, 2021",2018
96,s96,"September 8, 2021",2021
97,s97,"September 7, 2021",2018
98,s98,"September 7, 2021",2021
99,s99,"September 7, 2021",2021
100,s100,"September 7, 2021",2021
101,s101,"September 7, 2021",2019
102,s102,"September 7, 2021",2021
103,s103,"September 6, 2021",2021
104,s104,"September 6, 2021",2020
105,s105,"September 6, 2021",2016
106,s106,"September 5, 2021",2017
107,s107,"September 5, 2021",2021
108,s108,"September 4, 2021",2018
109,s109,"September 3, 2021",2021
110,s110,"September 3, 2021",2021
111,s111,"September 3, 2021",2021
112,s112,"September 3, 2021",2021
113,s113,"September 3, 2021",2021
114,s114,"September 2, 2021",2021
115,s115,"September 2, 2021",1994
116,s116,"September 2, 2021",2009
117,s117,"September 2, 2021",2015
118,s118,"September 2, 2021",2021
119,s119,"September 2, 2021",2017
120,s120,"September 2, 2021",2020
121,s121,"September 2, 2021",2021
122,s122,"September 2, 2021",2019
123,s123,"September 2, 2021",2003
124,s124,"September 2, 2021",2012
125,s125,"September 2, 2021",2013
126,s126,"September 2, 2021",2021
127,s127,"September 2, 2021",2020
128,s128,"September 1, 2021",2004
129,s129,"September 1, 2021",2017
130,s130,"September 1, 2021",2005
131,s131,"September 1, 2021",2021
132,s132,"September 1, 2021",1982
133,s133,"September 1, 2021",2021
134,s134,"September 1, 2021",2015
135,s135,"September 1, 2021",1994
136,s136,"September 1, 2021",1993
137,s137,"September 1, 2021",2003
138,s138,"September 1, 2021",2001
139,s139,"September 1, 2021",2010
140,s140,"September 1, 2021",1989
141,s141,"September 1, 2021",2014
142,s142,"September 1, 2021",2015
143,s143,"September 1, 2021",2007
144,s144,"September 1, 2021",2011
145,s145,"September 1, 2021",1990
146,s146,"September 1, 2021",1991
147,s147,"September 1, 2021",1994
148,s148,"September 1, 2021",2021
149,s149,"September 1, 2021",2020
150,s150,"September 1, 2021",1998
151,s151,"September 1, 2021",1999
152,s152,"September 1, 2021",2005
153,s153,"September 1, 2021",2016
154,s154,"September 1, 2021",2016
155,s155,"September 1, 2021",2015
156,s156,"September 1, 2021",1986
157,s157,"September 1, 2021",2010
158,s158,"September 1, 2021",2018
159,s159,"September 1, 2021",2003
160,s160,"September 1, 2021",2010
161,s161,"September 1, 2021",1992
162,s162,"September 1, 2021",1996
163,s163,"September 1, 2021",2017
164,s164,"September 1, 2021",2003
165,s165,"September 1, 2021",1999
166,s166,"September 1, 2021",2019
167,s167,"September 1, 2021",1984
168,s168,"September 1, 2021",2008
169,s169,"September 1, 2021",2001
170,s170,"September 1, 2021",2006
171,s171,"September 1, 2021",1997
172,s172,"September 1, 2021",2017
173,s173,"September 1, 2021",2003
174,s174,"September 1, 2021",2015
175,s175,"September 1, 2021",2003
176,s176,"September 1, 2021",1980
177,s177,"September 1, 2021",1986
178,s178,"September 1, 2021",1961
179,s179,"September 1, 2021",2014
180,s180,"September 1, 2021",1996
181,s181,"September 1, 2021",2000
182,s182,"September 1, 2021",2021
183,s183,"September 1, 2021",2008
184,s184,"August 31, 2021",1993
185,s185,"August 31, 2021",2021
186,s186,"August 31, 2021",2021
187,s187,"August 29, 2021",2021
188,s188,"August 29, 2021",2021
189,s189,"August 28, 2021",2008
190,s190,"August 28, 2021",2020
191,s191,"August 28, 2021",2021
192,s192,"August 28, 2021",2017
193,s193,"August 27, 2021",2008
194,s194,"August 27, 2021",2021
195,s195,"August 27, 2021",2002
196,s196,"August 27, 2021",2008
197,s197,"August 27, 2021",2021
198,s198,"August 27, 2021",2021
199,s199,"August 27, 2021",2021
200,s200,"August 27, 2021",2006
201,s201,"August 27, 2021",2004
202,s202,"August 27, 2021",2003
203,s203,"August 27, 2021",2005
204,s204,"August 27, 2021",2016
205,s205,"August 27, 2021",2012
206,s206,"August 27, 2021",2001
207,s207,"August 27, 2021",2010
208,s208,"August 27, 2021",2008
209,s209,"August 27, 2021",2010
210,s210,"August 27, 2021",2013
211,s211,"August 27, 2021",2011
212,s212,"August 27, 2021",2014
213,s213,"August 27, 2021",2016
214,s214,"August 27, 2021",2021
215,s215,"August 27, 2021",2021
216,s216,"August 27, 2021",2007
217,s217,"August 27, 2021",2011
218,s218,"August 27, 2021",2011
219,s219,"August 27, 2021",2021
220,s220,"August 26, 2021",2021
221,s221,"August 26, 2021",2021
222,s222,"August 25, 2021",2021
223,s223,"August 25, 2021",2021
224,s224,"August 25, 2021",2021
225,s225,"August 25, 2021",2021
226,s226,"August 25, 2021",2021
227,s227,"August 25, 2021",2021
228,s228,"August 25, 2021",2020
229,s229,"August 25, 2021",2014
230,s230,"August 25, 2021",2020
231,s231,"August 25, 2021",2021
232,s232,"August 25, 2021",2021
233,s233,"August 25, 2021",2019
234,s234,"August 24, 2021",2021
235,s235,"August 24, 2021",2021
236,s236,"August 24, 2021",2021
237,s237,"August 23, 2021",2021
238,s238,"August 23, 2021",2021
239,s239,"August 23, 2021",2021
240,s240,"August 23, 2021",2021
241,s241,"August 23, 2021",2021
242,s242,"August 21, 2021",2021
243,s243,"August 20, 2021",2021
244,s244,"August 20, 2021",2021
245,s245,"August 20, 2021",2018
246,s246,"August 20, 2021",2021
247,s247,"August 20, 2021",2021
248,s248,"August 20, 2021",2021
249,s249,"August 20, 2021",2021
250,s250,"August 20, 2021",2021
251,s251,"August 19, 2021",2020
252,s252,"August 19, 2021",2011
253,s253,"August 18, 2021",2021
254,s254,"August 18, 2021",1995
255,s255,"August 18, 2021",2021
256,s256,"August 18, 2021",2021
257,s257,"August 18, 2021",2020
258,s258,"August 18, 2021",2015
259,s259,"August 18, 2021",2020
260,s260,"August 18, 2021",2018
261,s261,"August 18, 2021",2020
262,s262,"August 18, 2021",2021
263,s263,"August 18, 2021",2021
264,s264,"August 16, 2021",2016
265,s265,"August 16, 2021",2014
266,s266,"August 15, 2021",2018
267,s267,"August 15, 2021",2020
268,s268,"August 15, 2021",1993
269,s269,"August 15, 2021",2020
270,s270,"August 15, 2021",2015
271,s271,"August 13, 2021",2021
272,s272,"August 13, 2021",2021
273,s273,"August 13, 2021",2021
274,s274,"August 13, 2021",2021
275,s275,"August 13, 2021",2021
276,s276,"August 13, 2021",2021
277,s277,"August 13, 2021",2021
278,s278,"August 12, 2021",2021
279,s279,"August 12, 2021",2021
280,s280,"August 12, 2021",2021
281,s281,"August 11, 2021",2021
282,s282,"August 11, 2021",2016
283,s283,"August 11, 2021",2020
284,s284,"August 11, 2021",2021
285,s285,"August 11, 2021",2021
286,s286,"August 11, 2021",2013
287,s287,"August 10, 2021",2021
288,s288,"August 10, 2021",2021
289,s289,"August 10, 2021",2018
290,s290,"August 10, 2021",2019
291,s291,"August 10, 2021",2021
292,s292,"August 9, 2021",2021
293,s293,"August 8, 2021",2012
294,s294,"August 8, 2021",2021
295,s295,"August 7, 2021",2020
296,s296,"August 7, 2021",2021
297,s297,"August 6, 2021",2021
298,s298,"August 6, 2021",2021
299,s299,"August 6, 2021",2020
300,s300,"August 6, 2021",2021
301,s301,"August 6, 2021",2021
302,s302,"August 5, 2021",2013
303,s303,"August 5, 2021",2013
304,s304,"August 5, 2021",1985
305,s305,"August 5, 2021",2021
306,s306,"August 5, 2021",1993
307,s307,"August 4, 2021",2016
308,s308,"August 4, 2021",2021
309,s309,"August 4, 2021",2012
310,s310,"August 4, 2021",2021
311,s311,"August 4, 2021",2021
312,s312,"August 4, 2021",2021
313,s313,"August 4, 2021",2021
314,s314,"August 3, 2021",2009
315,s315,"August 3, 2021",1995
316,s316,"August 3, 2021",2010
317,s317,"August 3, 2021",2011
318,s318,"August 3, 2021",2021
319,s319,"August 3, 2021",2021
320,s320,"August 3, 2021",2005
321,s321,"August 3, 2021",2021
322,s322,"August 3, 2021",2013
323,s323,"August 3, 2021",2008
324,s324,"August 1, 2021",2012
325,s325,"August 1, 2021",2020
326,s326,"August 1, 2021",1992
327,s327,"August 1, 2021",1993
328,s328,"August 1, 2021",2007
329,s329,"August 1, 2021",2016
330,s330,"August 1, 2021",2002
331,s331,"August 1, 2021",2009
332,s332,"August 1, 2021",2020
333,s333,"August 1, 2021",1999
334,s334,"August 1, 2021",1986
335,s335,"August 1, 2021",2019
336,s336,"August 1, 2021",2006
337,s337,"August 1, 2021",2010
338,s338,"August 1, 2021",2007
339,s339,"August 1, 2021",2014
340,s340,"August 1, 2021",2021
341,s341,"August 1, 2021",2010
342,s342,"August 1, 2021",1999
343,s343,"August 1, 2021",1995
344,s344,"August 1, 2021",1991
345,s345,"August 1, 2021",1994
346,s346,"August 1, 2021",2015
347,s347,"August 1, 2021",2008
348,s348,"August 1, 2021",2009
349,s349,"August 1, 2021",2019
350,s350,"August 1, 2021",2003
351,s351,"August 1, 2021",2000
352,s352,"August 1, 2021",2004
353,s353,"August 1, 2021",2016
354,s354,"August 1, 2021",2013
355,s355,"August 1, 2021",1991
356,s356,"August 1, 2021",2011
357,s357,"August 1, 2021",2010
358,s358,"August 1, 2021",2004
359,s359,"August 1, 2021",1995
360,s360,"August 1, 2021",2000
361,s361,"August 1, 2021",2010
362,s362,"July 31, 2021",2021
363,s363,"July 31, 2021",2018
364,s364,"July 31, 2021",2021
365,s365,"July 30, 2021",2021
366,s366,"July 30, 2021",2014
367,s367,"July 30, 2021",2021
368,s368,"July 30, 2021",2020
369,s369,"July 30, 2021",2009
370,s370,"July 30, 2021",2021
371,s371,"July 30, 2021",2021
372,s372,"July 30, 2021",2009
373,s373,"July 30, 2021",2021
374,s374,"July 30, 2021",2021
375,s375,"July 29, 2021",2013
376,s376,"July 29, 2021",2021
377,s377,"July 29, 2021",2021
378,s378,"July 28, 2021",2021
379,s379,"July 28, 2021",2019
380,s380,"July 28, 2021",2021
381,s381,"July 28, 2021",2021
382,s382,"July 28, 2021",2021
383,s383,"July 27, 2021",2021
384,s384,"July 27, 2021",2012
385,s385,"July 27, 2021",2021
386,s386,"July 27, 2021",2021
387,s387,"July 27, 2021",2021
388,s388,"July 27, 2021",2021
389,s389,"July 27, 2021",2021
390,s390,"July 27, 2021",2019
391,s391,"July 26, 2021",2019
392,s392,"July 26, 2021",2020
393,s393,"July 24, 2021",2012
394,s394,"July 23, 2021",2021
395,s395,"July 23, 2021",2021
396,s396,"July 23, 2021",2021
397,s397,"July 23, 2021",2021
398,s398,"July 23, 2021",2021
399,s399,"July 23, 2021",2021
400,s400,"July 23, 2021",2021
401,s401,"July 23, 2021",2021
402,s402,"July 23, 2021",2021
403,s403,"July 23, 2021",2021
404,s404,"July 23, 2021",2021
405,s405,"July 22, 2021",2021
406,s406,"July 22, 2021",2015
407,s407,"July 22, 2021",2013
408,s408,"July 22, 2021",2009
409,s409,"July 22, 2021",2011
410,s410,"July 22, 2021",2010
411,s411,"July 22, 2021",2013
412,s412,"July 22, 2021",2013
413,s413,"July 22, 2021",2013
414,s414,"July 22, 2021",2013
415,s415,"July 22, 2021",2012
416,s416,"July 22, 2021",2009
417,s417,"July 22, 2021",2013
418,s418,"July 22, 2021",2015
419,s419,"July 22, 2021",2019
420,s420,"July 22, 2021",2010
421,s421,"July 22, 2021",2012
422,s422,"July 22, 2021",2014
423,s423,"July 22, 2021",2011
424,s424,"July 22, 2021",2011
425,s425,"July 22, 2021",2012
426,s426,"July 22, 2021",2019
427,s427,"July 22, 2021",2021
428,s428,"July 22, 2021",2019
429,s429,"July 22, 2021",2021
430,s430,"July 21, 2021",2020
431,s431,"July 21, 2021",2021
432,s432,"July 21, 2021",2021
433,s433,"July 21, 2021",2021
434,s434,"July 20, 2021",2020
435,s435,"July 20, 2021",2020
436,s436,"July 20, 2021",2019
437,s437,"July 19, 2021",2021
438,s438,"July 17, 2021",2021
439,s439,"July 16, 2021",2020
440,s440,"July 16, 2021",2021
441,s441,"July 16, 2021",2021
442,s442,"July 16, 2021",2021
443,s443,"July 16, 2021",2021
444,s444,"July 16, 2021",1999
445,s445,"July 16, 2021",2021
446,s446,"July 16, 2021",2017
447,s447,"July 16, 2021",2017
448,s448,"July 16, 2021",2011
449,s449,"July 16, 2021",2012
450,s450,"July 16, 2021",2010
451,s451,"July 16, 2021",2009
452,s452,"July 16, 2021",2008
453,s453,"July 15, 2021",2021
454,s454,"July 15, 2021",2021
455,s455,"July 15, 2021",1983
456,s456,"July 15, 2021",2021
457,s457,"July 15, 2021",2019
458,s458,"July 15, 2021",2021
459,s459,"July 15, 2021",2021
460,s460,"July 15, 2021",2021
461,s461,"July 15, 2021",2007
462,s462,"July 15, 2021",2019
463,s463,"July 15, 2021",2019
464,s464,"July 14, 2021",2021
465,s465,"July 14, 2021",2021
466,s466,"July 14, 2021",2021
467,s467,"July 14, 2021",2021
468,s468,"July 14, 2021",2021
469,s469,"July 14, 2021",2021
470,s470,"July 13, 2021",2019
471,s471,"July 13, 2021",2021
472,s472,"July 13, 2021",2021
473,s473,"July 13, 2021",2021
474,s474,"July 12, 2021",2020
475,s475,"July 10, 2021",2015
476,s476,"July 10, 2021",2019
477,s477,"July 10, 2021",2016
478,s478,"July 9, 2021",2021
479,s479,"July 9, 2021",2021
480,s480,"July 9, 2021",2021
481,s481,"July 9, 2021",2020
482,s482,"July 9, 2021",2021
483,s483,"July 9, 2021",2021
484,s484,"July 9, 2021",2021
485,s485,"July 9, 2021",2021
486,s486,"July 9, 2021",2021
487,s487,"July 9, 2021",2016
488,s488,"July 9, 2021",2021
489,s489,"July 9, 2021",2021
490,s490,"July 8, 2021",2017
491,s491,"July 8, 2021",2021
492,s492,"July 8, 2021",2017
493,s493,"July 8, 2021",2018
494,s494,"July 8, 2021",2021
495,s495,"July 8, 2021",2015
496,s496,"July 7, 2021",2019
497,s497,"July 7, 2021",2014
498,s498,"July 7, 2021",2021
499,s499,"July 7, 2021",2020
500,s500,"July 7, 2021",2021
501,s501,"July 7, 2021",2021
502,s502,"July 7, 2021",2020
503,s503,"July 7, 2021",2010
504,s504,"July 7, 2021",2021
505,s505,"July 7, 2021",2021
506,s506,"July 7, 2021",2020
507,s507,"July 7, 2021",2021
508,s508,"July 7, 2021",2019
509,s509,"July 6, 2021",2019
510,s510,"July 6, 2021",2019
511,s511,"July 6, 2021",2016
512,s512,"July 6, 2021",2017
513,s513,"July 6, 2021",2007
514,s514,"July 6, 2021",2018
515,s515,"July 6, 2021",2019
516,s516,"July 6, 2021",2019
517,s517,"July 6, 2021",2021
518,s518,"July 6, 2021",2017
519,s519,"July 6, 2021",2020
520,s520,"July 6, 2021",2020
521,s521,"July 6, 2021",2021
522,s522,"July 6, 2021",2021
523,s523,"July 6, 2021",2015
524,s524,"July 6, 2021",2019
525,s525,"July 6, 2021",2019
526,s526,"July 6, 2021",2018
527,s527,"July 6, 2021",2019
528,s528,"July 6, 2021",2016
529,s529,"July 6, 2021",2012
530,s530,"July 6, 2021",1976
531,s531,"July 6, 2021",2015
532,s532,"July 6, 2021",2018
533,s533,"July 6, 2021",2019
534,s534,"July 6, 2021",2021
535,s535,"July 6, 2021",2019
536,s536,"July 6, 2021",2015
537,s537,"July 6, 2021",2018
538,s538,"July 6, 2021",2018
539,s539,"July 6, 2021",2021
540,s540,"July 6, 2021",2020
541,s541,"July 6, 2021",2020
542,s542,"July 6, 2021",2018
543,s543,"July 6, 2021",1959
544,s544,"July 6, 2021",2020
545,s545,"July 6, 2021",2021
546,s546,"July 6, 2021",2020
547,s547,"July 6, 2021",2021
548,s548,"July 4, 2021",2021
549,s549,"July 3, 2021",2020
550,s550,"July 2, 2021",2020
551,s551,"July 2, 2021",2021
552,s552,"July 2, 2021",2021
553,s553,"July 2, 2021",2020
554,s554,"July 2, 2021",2019
555,s555,"July 2, 2021",2020
556,s556,"July 2, 2021",2013
557,s557,"July 2, 2021",2021
558,s558,"July 2, 2021",2018
559,s559,"July 1, 2021",2012
560,s560,"July 1, 2021",1997
561,s561,"July 1, 2021",2021
562,s562,"July 1, 2021",2002
563,s563,"July 1, 2021",1997
564,s564,"July 1, 2021",1999
565,s565,"July 1, 2021",1997
566,s566,"July 1, 2021",2020
567,s567,"July 1, 2021",2000
568,s568,"July 1, 2021",1995
569,s569,"July 1, 2021",1993
570,s570,"July 1, 2021",2019
571,s571,"July 1, 2021",2021
572,s572,"July 1, 2021",2021
573,s573,"July 1, 2021",2019
574,s574,"July 1, 2021",2008
575,s575,"July 1, 2021",2011
576,s576,"July 1, 2021",2010
577,s577,"July 1, 2021",2019
578,s578,"July 1, 2021",2021
579,s579,"July 1, 2021",2005
580,s580,"July 1, 2021",1988
581,s581,"July 1, 2021",2021
582,s582,"July 1, 2021",1995
583,s583,"July 1, 2021",2016
584,s584,"July 1, 2021",2011
585,s585,"July 1, 2021",2001
586,s586,"July 1, 2021",2018
587,s587,"July 1, 2021",1992
588,s588,"July 1, 2021",2020
589,s589,"July 1, 2021",2018
590,s590,"July 1, 2021",2019
591,s591,"July 1, 2021",2016
592,s592,"July 1, 2021",2008
593,s593,"July 1, 2021",2010
594,s594,"July 1, 2021",2000
595,s595,"July 1, 2021",2009
596,s596,"July 1, 2021",1999
597,s597,"July 1, 2021",2019
598,s598,"July 1, 2021",2006
599,s599,"July 1, 2021",2010
600,s600,"July 1, 2021",2019
601,s601,"July 1, 2021",1997
602,s602,"July 1, 2021",1984
603,s603,"July 1, 2021",1986
604,s604,"July 1, 2021",1989
605,s605,"July 1, 2021",2003
606,s606,"July 1, 2021",1980
607,s607,"July 1, 2021",2006
608,s608,"July 1, 2021",2008
609,s609,"July 1, 2021",2002
610,s610,"July 1, 2021",2010
611,s611,"July 1, 2021",2003
612,s612,"July 1, 2021",2012
613,s613,"July 1, 2021",2009
614,s614,"July 1, 2021",2020
615,s615,"July 1, 2021",1998
616,s616,"July 1, 2021",1998
617,s617,"July 1, 2021",2019
618,s618,"July 1, 2021",2021
619,s619,"June 30, 2021",2021
620,s620,"June 30, 2021",2020
621,s621,"June 30, 2021",2019
622,s622,"June 30, 2021",2020
623,s623,"June 30, 2021",2019
624,s624,"June 30, 2021",2021
625,s625,"June 30, 2021",2021
626,s626,"June 30, 2021",2021
627,s627,"June 30, 2021",2021
628,s628,"June 30, 2021",2020
629,s629,"June 29, 2021",2021
630,s630,"June 28, 2021",2020
631,s631,"June 28, 2021",2012
632,s632,"June 28, 2021",2021
633,s633,"June 28, 2021",2019
634,s634,"June 26, 2021",2018
635,s635,"June 26, 2021",2019
636,s636,"June 25, 2021",2010
637,s637,"June 25, 2021",2021
638,s638,"June 25, 2021",2021
639,s639,"June 25, 2021",2021
640,s640,"June 24, 2021",2021
641,s641,"June 24, 2021",2021
642,s642,"June 24, 2021",2021
643,s643,"June 24, 2021",2021
644,s644,"June 24, 2021",2021
645,s645,"June 23, 2021",2021
646,s646,"June 23, 2021",2021
647,s647,"June 23, 2021",2021
648,s648,"June 23, 2021",2021
649,s649,"June 23, 2021",2021
650,s650,"June 22, 2021",2019
651,s651,"June 22, 2021",2016
652,s652,"June 22, 2021",2003
653,s653,"June 22, 2021",2004
654,s654,"June 22, 2021",2021
655,s655,"June 21, 2021",2014
656,s656,"June 21, 2021",2016
657,s657,"June 21, 2021",2015
658,s658,"June 21, 2021",2001
659,s659,"June 20, 2021",2021
660,s660,"June 19, 2021",2018
661,s661,"June 19, 2021",2021
662,s662,"June 19, 2021",2018
663,s663,"June 19, 2021",2018
664,s664,"June 19, 2021",2019
665,s665,"June 19, 2021",2020
666,s666,"June 19, 2021",2020
667,s667,"June 19, 2021",2020
668,s668,"June 19, 2021",2015
669,s669,"June 19, 2021",2018
670,s670,"June 19, 2021",2020
671,s671,"June 19, 2021",1981
672,s672,"June 19, 2021",1982
673,s673,"June 19, 2021",1988
674,s674,"June 19, 2021",2019
675,s675,"June 19, 2021",2019
676,s676,"June 19, 2021",2018
677,s677,"June 19, 2021",2019
678,s678,"June 19, 2021",2020
679,s679,"June 19, 2021",2018
680,s680,"June 19, 2021",2018
681,s681,"June 19, 2021",2020
682,s682,"June 19, 2021",2018
683,s683,"June 19, 2021",2021
684,s684,"June 18, 2021",2021
685,s685,"June 18, 2021",2021
686,s686,"June 18, 2021",2021
687,s687,"June 18, 2021",2021
688,s688,"June 18, 2021",2021
689,s689,"June 18, 2021",2020
690,s690,"June 18, 2021",1981
691,s691,"June 18, 2021",2021
692,s692,"June 18, 2021",2021
693,s693,"June 18, 2021",2021
694,s694,"June 17, 2021",2021
695,s695,"June 17, 2021",2019
696,s696,"June 17, 2021",2015
697,s697,"June 17, 2021",2021
698,s698,"June 17, 2021",2021
699,s699,"June 17, 2021",2020
700,s700,"June 17, 2021",2021
701,s701,"June 17, 2021",2021
702,s702,"June 17, 2021",2019
703,s703,"June 17, 2021",2012
704,s704,"June 17, 2021",2021
705,s705,"June 16, 2021",2018
706,s706,"June 16, 2021",2019
707,s707,"June 16, 2021",2021
708,s708,"June 16, 2021",2021
709,s709,"June 16, 2021",2016
710,s710,"June 16, 2021",2020
711,s711,"June 16, 2021",2021
712,s712,"June 16, 2021",2021
713,s713,"June 16, 2021",2020
714,s714,"June 15, 2021",2020
715,s715,"June 15, 2021",2021
716,s716,"June 15, 2021",2021
717,s717,"June 15, 2021",1972
718,s718,"June 15, 2021",2021
719,s719,"June 15, 2021",2013
720,s720,"June 15, 2021",2021
721,s721,"June 15, 2021",2021
722,s722,"June 15, 2021",2020
723,s723,"June 15, 2021",2005
724,s724,"June 15, 2021",2014
725,s725,"June 15, 2021",2021
726,s726,"June 14, 2021",2021
727,s727,"June 13, 2021",2014
728,s728,"June 13, 2021",2020
729,s729,"June 13, 2021",2021
730,s730,"June 12, 2021",2021
731,s731,"June 12, 2021",2021
732,s732,"June 12, 2021",2021
733,s733,"June 12, 2021",2021
734,s734,"June 11, 2021",2016
735,s735,"June 11, 2021",2021
736,s736,"June 11, 2021",2021
737,s737,"June 11, 2021",2021
738,s738,"June 11, 2021",2021
739,s739,"June 11, 2021",2021
740,s740,"June 11, 2021",2021
741,s741,"June 10, 2021",2014
742,s742,"June 10, 2021",2012
743,s743,"June 10, 2021",2021
744,s744,"June 10, 2021",2014
745,s745,"June 10, 2021",2021
746,s746,"June 10, 2021",2019
747,s747,"June 9, 2021",2021
748,s748,"June 9, 2021",2013
749,s749,"June 9, 2021",2021
750,s750,"June 9, 2021",2021
751,s751,"June 9, 2021",2021
752,s752,"June 8, 2021",2018
753,s753,"June 7, 2021",2014
754,s754,"June 6, 2021",2007
755,s755,"June 5, 2021",2018
756,s756,"June 5, 2021",2021
757,s757,"June 5, 2021",2020
758,s758,"June 4, 2021",2021
759,s759,"June 4, 2021",2021
760,s760,"June 4, 2021",2015
761,s761,"June 4, 2021",2015
762,s762,"June 4, 2021",2021
763,s763,"June 4, 2021",2021
764,s764,"June 4, 2021",2021
765,s765,"June 4, 2021",2021
766,s766,"June 4, 2021",2021
767,s767,"June 3, 2021",2021
768,s768,"June 3, 2021",2021
769,s769,"June 3, 2021",2021
770,s770,"June 3, 2021",2020
771,s771,"June 3, 2021",2021
772,s772,"June 3, 2021",2021
773,s773,"June 3, 2021",2021
774,s774,"June 3, 2021",2019
775,s775,"June 2, 2021",2020
776,s776,"June 2, 2021",2012
777,s777,"June 2, 2021",2001
778,s778,"June 2, 2021",2009
779,s779,"June 2, 2021",2013
780,s780,"June 2, 2021",2000
781,s781,"June 2, 2021",2019
782,s782,"June 2, 2021",2021
783,s783,"June 2, 2021",1997
784,s784,"June 2, 2021",2021
785,s785,"June 2, 2021",2011
786,s786,"June 2, 2021",2021
787,s787,"June 2, 2021",2013
788,s788,"June 2, 2021",2003
789,s789,"June 2, 2021",2001
790,s790,"June 2, 2021",2015
791,s791,"June 2, 2021",2015
792,s792,"June 2, 2021",2008
793,s793,"June 2, 2021",2010
794,s794,"June 2, 2021",1997
795,s795,"June 2, 2021",2019
796,s796,"June 2, 2021",2012
797,s797,"June 2, 2021",2011
798,s798,"June 2, 2021",2001
799,s799,"June 2, 2021",1997
800,s800,"June 2, 2021",2004
801,s801,"June 2, 2021",2012
802,s802,"June 2, 2021",2011
803,s803,"June 2, 2021",2009
804,s804,"June 2, 2021",2006
805,s805,"June 2, 2021",2006
806,s806,"June 2, 2021",2021
807,s807,"June 2, 2021",2017
808,s808,"June 2, 2021",2017
809,s809,"June 2, 2021",2014
810,s810,"June 2, 2021",2004
811,s811,"June 2, 2021",1984
812,s812,"June 2, 2021",2021
813,s813,"June 2, 2021",2001
814,s814,"June 2, 2021",1993
815,s815,"June 2, 2021",1981
816,s816,"June 2, 2021",2015
817,s817,"June 2, 2021",2005
818,s818,"June 2, 2021",2015
819,s819,"June 2, 2021",1996
820,s820,"June 2, 2021",1976
821,s821,"June 2, 2021",2021
