Restaurant ID,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu
17304741,No,No,No,No
17304726,No,No,No,No
17304486,No,No,No,No
17304533,No,No,No,No
17316233,No,No,No,No
17315883,No,No,No,No
17315995,No,No,No,No
17316018,No,No,No,No
17316038,No,No,No,No
17316771,No,No,No,No
17316201,No,No,No,No
17316208,No,No,No,No
17316389,No,No,No,No
17316278,No,No,No,No
17316744,No,No,No,No
17316751,No,No,No,No
17316766,No,No,No,No
17316743,No,No,No,No
17316374,No,No,No,No
17316381,No,No,No,No
17316802,No,No,No,No
17316416,No,No,No,No
17316449,No,No,No,No
17316603,No,No,No,No
16659169,No,No,No,No
17558684,No,No,No,No
18366580,No,No,No,No
17330755,No,No,No,No
17330611,No,No,No,No
17330609,No,No,No,No
17330024,No,No,No,No
17330074,No,No,No,No
17330185,No,No,No,No
17330397,No,No,No,No
17330735,No,No,No,No
17330676,No,No,No,No
17330048,No,No,No,No
17330604,No,No,No,No
17330087,No,No,No,No
17330137,No,No,No,No
17330155,No,No,No,No
17330309,No,No,No,No
17330311,No,No,No,No
17330615,No,No,No,No
17330638,No,No,No,No
17330628,No,No,No,No
17330546,No,No,No,No
16643459,No,No,No,No
17334434,No,No,No,No
17334348,No,No,No,No
17334213,No,No,No,No
17334355,No,No,No,No
17334212,No,No,No,No
17333797,No,No,No,No
17334217,No,No,No,No
17334273,No,No,No,No
17334254,No,No,No,No
17333836,No,No,No,No
17334197,No,No,No,No
17333882,No,No,No,No
17334211,No,No,No,No
17334390,No,No,No,No
17334034,No,No,No,No
17334414,No,No,No,No
17334082,No,No,No,No
17334364,No,No,No,No
17334398,No,No,No,No
17334219,No,No,No,No
17335173,No,No,No,No
17335195,No,No,No,No
17335225,No,No,No,No
17335219,No,No,No,No
17334965,No,No,No,No
17335189,No,No,No,No
17335156,No,No,No,No
17334717,No,No,No,No
17334752,No,No,No,No
18453427,No,No,No,No
17793744,No,No,No,No
17334679,No,No,No,No
17334718,No,No,No,No
17334763,No,No,No,No
17335158,No,No,No,No
17334782,No,No,No,No
17334846,No,No,No,No
17334853,No,No,No,No
17335168,No,No,No,No
17334958,No,No,No,No
17258496,No,No,No,No
17259395,No,No,No,No
17258350,No,No,No,No
17258136,No,No,No,No
17258522,No,No,No,No
17259958,No,No,No,No
17258036,No,No,No,No
17259368,No,No,No,No
17257684,No,No,No,No
17258154,No,No,No,No
17259340,No,No,No,No
17259243,No,No,No,No
17259625,No,No,No,No
17259169,No,No,No,No
17259166,No,No,No,No
17259335,No,No,No,No
17259248,No,No,No,No
17258552,No,No,No,No
17259550,No,No,No,No
17259200,No,No,No,No
16615894,No,No,No,No
17342816,No,No,No,No
17342498,No,No,No,No
17342648,No,No,No,No
17342781,No,No,No,No
17342799,No,No,No,No
17342772,No,No,No,No
17342771,No,No,No,No
17342548,No,No,No,No
17342556,No,No,No,No
17342811,No,No,No,No
17342576,No,No,No,No
17342770,No,No,No,No
17342585,No,No,No,No
17342494,No,No,No,No
17342594,No,No,No,No
17342625,No,No,No,No
17342652,No,No,No,No
17342665,No,No,No,No
17342810,No,No,No,No
17342775,No,No,No,No
16612028,No,No,No,No
17536645,No,No,No,No
16613507,No,No,No,No
16607969,No,No,No,No
17374405,No,No,No,No
17375060,No,No,No,No
17375164,No,No,No,No
17374552,No,No,No,No
17375078,No,No,No,No
17375049,No,No,No,No
17375077,No,No,No,No
17375141,No,No,No,No
17375198,No,No,No,No
17375180,No,No,No,No
17375072,No,No,No,No
17375047,No,No,No,No
17375074,No,No,No,No
17374921,No,No,No,No
17374819,No,No,No,No
17375089,No,No,No,No
17375214,No,No,No,No
17374951,No,No,No,No
17374978,No,No,No,No
17375104,No,No,No,No
16604358,No,No,No,No
16604896,No,No,No,No
16612550,No,No,No,No
16606299,No,No,No,No
16605794,No,No,No,No
17557488,No,No,No,No
17452342,No,No,No,No
16611498,No,No,No,No
17842104,No,No,No,No
17501291,No,No,No,No
17500759,No,No,No,No
17500767,No,No,No,No
17500819,No,No,No,No
17500911,No,No,No,No
17501439,No,No,No,No
17501279,No,No,No,No
17500695,No,No,No,No
17501298,No,No,No,No
17500847,No,No,No,No
17500872,No,No,No,No
17501315,No,No,No,No
17501201,No,No,No,No
17501247,No,No,No,No
17501281,No,No,No,No
17501143,No,No,No,No
17501292,No,No,No,No
17501308,No,No,No,No
17501301,No,No,No,No
17501268,No,No,No,No
16611701,No,No,No,No
17482142,No,No,No,No
16609169,No,No,No,No
17606621,No,No,No,No
17687832,No,No,No,No
16613059,No,No,No,No
17534788,No,No,No,No
17061237,No,No,No,No
17057397,No,No,No,No
17058534,No,No,No,No
17060320,No,No,No,No
17057925,No,No,No,No
17060869,No,No,No,No
17057591,No,No,No,No
17059541,No,No,No,No
17064266,No,No,No,No
17064405,No,No,No,No
17060516,No,No,No,No
17059012,No,No,No,No
17061296,No,No,No,No
17061205,No,No,No,No
17064031,No,No,No,No
17066603,No,No,No,No
17057797,No,No,No,No
17061253,No,No,No,No
17059060,No,No,No,No
17061231,No,No,No,No
16613649,No,No,No,No
18255631,No,No,No,No
16608483,No,No,No,No
17580453,No,No,No,No
17580142,No,No,No,No
17580160,No,No,No,No
17580349,No,No,No,No
17580412,No,No,No,No
17580590,No,No,No,No
17580704,No,No,No,No
17579928,No,No,No,No
17579992,No,No,No,No
17580030,No,No,No,No
17580074,No,No,No,No
17580020,No,No,No,No
17580350,No,No,No,No
17580408,No,No,No,No
17579653,No,No,No,No
17580476,No,No,No,No
17580422,No,No,No,No
17580539,No,No,No,No
17580511,No,No,No,No
17580021,No,No,No,No
16604370,No,No,No,No
17582467,No,No,No,No
17582668,No,No,No,No
17582498,No,No,No,No
17582499,No,No,No,No
17582522,No,No,No,No
17582524,No,No,No,No
17582527,No,No,No,No
17582551,No,No,No,No
17582558,No,No,No,No
17582560,No,No,No,No
17582677,No,No,No,No
17582670,No,No,No,No
17582625,No,No,No,No
17582627,No,No,No,No
17582700,No,No,No,No
17582664,No,No,No,No
17582682,No,No,No,No
17582669,No,No,No,No
18491935,No,No,No,No
17582546,No,No,No,No
17629582,No,No,No,No
17211719,No,No,No,No
17144717,No,No,No,No
17143970,No,No,No,No
17142698,No,No,No,No
17144991,No,No,No,No
17142519,No,No,No,No
17145408,No,No,No,No
17143336,No,No,No,No
17145077,No,No,No,No
17141447,No,No,No,No
17142096,No,No,No,No
17142297,No,No,No,No
17142535,No,No,No,No
17142792,No,No,No,No
17145495,No,No,No,No
17143950,No,No,No,No
17142747,No,No,No,No
17141990,No,No,No,No
17144732,No,No,No,No
17143282,No,No,No,No
17143705,No,No,No,No
17615915,No,No,No,No
17616487,No,No,No,No
17615924,No,No,No,No
17615979,No,No,No,No
17616266,No,No,No,No
17615976,No,No,No,No
17616025,No,No,No,No
17615597,No,No,No,No
17615740,No,No,No,No
17616203,No,No,No,No
17616590,No,No,No,No
17615855,No,No,No,No
17616348,No,No,No,No
17616368,No,No,No,No
17616400,No,No,No,No
17616076,No,No,No,No
17616205,No,No,No,No
17616222,No,No,No,No
17616295,No,No,No,No
17616465,No,No,No,No
18483372,No,No,No,No
18484349,No,No,No,No
18496057,No,No,No,No
18483389,No,No,No,No
18483222,No,No,No,No
18483085,No,No,No,No
18484423,No,No,No,No
18483714,No,No,No,No
18485469,No,No,No,No
18479690,No,No,No,No
18483224,No,No,No,No
18493989,No,No,No,No
18484464,No,No,No,No
18483051,No,No,No,No
18482983,No,No,No,No
18479742,No,No,No,No
18482938,No,No,No,No
18483082,No,No,No,No
18483446,No,No,No,No
18483252,No,No,No,No
17621616,No,No,No,No
17621696,No,No,No,No
17621744,No,No,No,No
17621759,No,No,No,No
17621763,No,No,No,No
17621780,No,No,No,No
17621781,No,No,No,No
17621788,No,No,No,No
17621793,No,No,No,No
17621796,No,No,No,No
17621831,No,No,No,No
17621832,No,No,No,No
17621833,No,No,No,No
17621834,No,No,No,No
17621869,No,No,No,No
17621960,No,No,No,No
17621746,No,No,No,No
17621755,No,No,No,No
17621946,No,No,No,No
17621552,No,No,No,No
17096140,No,No,No,No
17099925,No,No,No,No
17092257,No,No,No,No
17092799,No,No,No,No
17095222,No,No,No,No
17092293,No,No,No,No
17102241,No,No,No,No
17102579,No,No,No,No
17092801,No,No,No,No
17093273,No,No,No,No
17096198,No,No,No,No
17095098,No,No,No,No
17093135,No,No,No,No
17095236,No,No,No,No
17095979,No,No,No,No
17099856,No,No,No,No
17100307,No,No,No,No
17093600,No,No,No,No
17100547,No,No,No,No
17093124,No,No,No,No
16608059,No,No,No,No
16605194,No,No,No,No
17678243,No,No,No,No
17678043,No,No,No,No
17677978,No,No,No,No
17677988,No,No,No,No
17678231,No,No,No,No
17677990,No,No,No,No
17677991,No,No,No,No
17678307,No,No,No,No
17678276,No,No,No,No
17678283,No,No,No,No
17678222,No,No,No,No
17678055,No,No,No,No
17678326,No,No,No,No
17678229,No,No,No,No
17678097,No,No,No,No
17678216,No,No,No,No
17678233,No,No,No,No
17678148,No,No,No,No
17678291,No,No,No,No
17678218,No,No,No,No
17558738,No,No,No,No
16608209,No,No,No,No
16654702,No,No,No,No
17697444,No,No,No,No
17696871,No,No,No,No
17696891,No,No,No,No
17696901,No,No,No,No
17697384,No,No,No,No
17697417,No,No,No,No
17696918,No,No,No,No
17696920,No,No,No,No
17697398,No,No,No,No
17697406,No,No,No,No
17696941,No,No,No,No
17696955,No,No,No,No
17696957,No,No,No,No
17697418,No,No,No,No
17697386,No,No,No,No
17697224,No,No,No,No
17697304,No,No,No,No
17697389,No,No,No,No
17697424,No,No,No,No
17697332,No,No,No,No
17694056,No,No,No,No
17559793,No,No,No,No
16668008,No,No,No,No
18212135,No,No,No,No
5704255,No,Yes,No,No
5701978,Yes,Yes,No,No
5701729,No,No,No,No
5704168,No,No,No,No
18277098,No,No,No,No
5701446,No,No,No,No
5700052,Yes,Yes,No,No
5702418,Yes,Yes,No,No
5700386,No,Yes,No,No
5704202,No,Yes,No,No
5701052,No,Yes,No,No
5704118,No,Yes,No,No
5701548,No,Yes,No,No
18235425,Yes,Yes,No,No
5702615,No,Yes,No,No
5703500,Yes,No,No,No
18253896,Yes,No,No,No
5701917,No,No,No,No
5702574,No,No,No,No
202321,Yes,No,No,No
206488,Yes,Yes,No,No
209654,Yes,Yes,No,No
18340881,Yes,No,No,No
18233284,Yes,No,No,No
18269368,Yes,No,No,No
18254160,Yes,No,No,No
208939,Yes,No,No,No
201531,No,No,No,No
208965,No,Yes,No,No
208778,No,No,No,No
209703,No,No,No,No
18381837,Yes,No,No,No
208850,Yes,No,No,No
210134,Yes,Yes,No,No
201044,No,No,No,No
201340,No,No,No,No
18289126,No,No,No,No
202507,No,Yes,No,No
210139,Yes,Yes,No,No
5600424,No,Yes,No,No
5602751,No,Yes,No,No
5600457,No,Yes,No,No
5600642,No,No,No,No
18268134,No,Yes,No,No
18376208,No,No,No,No
5600959,No,Yes,No,No
5600103,No,Yes,No,No
5602586,No,Yes,No,No
5600961,No,No,No,No
5600960,No,No,No,No
5601340,No,No,No,No
5600701,No,Yes,No,No
5601404,No,Yes,No,No
5600556,No,Yes,No,No
5602055,No,No,No,No
5601521,No,Yes,No,No
5602377,No,No,No,No
5602884,No,No,No,No
5602942,No,No,No,No
3400025,No,No,No,No
3400341,No,No,No,No
3400005,No,No,No,No
3400021,No,No,No,No
3400017,No,No,No,No
3400325,No,No,No,No
3400059,No,No,No,No
3400060,No,No,No,No
3400348,No,No,No,No
3400072,No,No,No,No
3400073,No,No,No,No
3400019,No,No,No,No
3400033,No,No,No,No
3400346,No,No,No,No
3400350,No,No,No,No
3400391,No,No,No,No
3400016,No,No,No,No
3400105,No,No,No,No
3400326,No,No,No,No
3400392,No,No,No,No
111895,No,No,No,No
110502,No,No,No,No
18396250,No,Yes,No,No
113702,No,No,No,No
113433,No,Yes,No,No
18438909,No,Yes,No,No
18143128,No,Yes,No,No
18438944,No,Yes,No,No
110436,No,No,No,No
18385201,No,No,No,No
110395,No,No,No,No
18335583,No,No,No,No
110237,No,Yes,No,No
113537,No,Yes,No,No
113703,No,Yes,No,No
18385186,No,Yes,No,No
113325,No,Yes,No,No
111826,No,No,No,No
110516,No,No,No,No
18371341,No,Yes,No,No
113570,No,No,No,No
2400020,No,No,No,No
2400148,No,No,No,No
2400019,No,No,No,No
2400193,No,No,No,No
2400027,No,No,No,No
17960073,No,No,No,No
2400119,No,No,No,No
2400014,No,No,No,No
2400403,No,No,No,No
2400349,No,No,No,No
2400279,No,No,No,No
2400017,No,No,No,No
18317988,No,No,No,No
2400144,No,No,No,No
2400195,No,No,No,No
2400052,No,No,No,No
2400016,No,No,No,No
2400293,No,No,No,No
2400009,No,No,No,No
2400010,No,No,No,No
2200011,No,No,No,No
2200078,No,No,No,No
18204507,No,No,No,No
2200030,No,No,No,No
2200201,No,No,No,No
2200067,No,No,No,No
2200358,No,No,No,No
2200001,No,No,No,No
2200033,No,No,No,No
2200283,No,No,No,No
2200045,No,No,No,No
2200149,No,No,No,No
2200043,No,No,No,No
2200044,No,No,No,No
2200132,No,No,No,No
2200236,No,No,No,No
2200175,No,No,No,No
2200000,No,No,No,No
2200055,No,No,No,No
2200034,No,No,No,No
2200153,No,No,No,No
2500023,No,No,No,No
2500076,No,No,No,No
2500054,No,No,No,No
2500134,No,No,No,No
2500069,No,No,No,No
2500256,No,No,No,No
2500024,No,No,No,No
2500075,No,No,No,No
2500029,No,No,No,No
2500079,No,No,No,No
2500343,No,No,No,No
2500052,No,No,No,No
2500062,No,No,No,No
2500056,No,No,No,No
2500030,No,No,No,No
2500390,No,No,No,No
2500007,No,No,No,No
2500123,No,No,No,No
2500122,No,No,No,No
2500346,No,No,No,No
50943,Yes,Yes,No,No
58268,Yes,Yes,No,No
51705,No,No,No,No
18162866,Yes,No,No,No
18407918,No,Yes,No,No
56464,No,No,No,No
18221572,No,Yes,No,No
18359919,No,No,No,No
18439634,No,No,No,No
51040,No,Yes,No,No
54162,Yes,No,No,No
18305628,No,Yes,No,No
18385443,No,No,No,No
56618,No,No,No,No
18353121,Yes,No,No,No
18366652,No,No,No,No
18430785,No,No,No,No
58882,Yes,Yes,No,No
18422898,No,No,No,No
18339874,No,No,No,No
2600472,No,No,No,No
2600514,No,No,No,No
2600109,No,No,No,No
2600311,No,No,No,No
2600008,No,No,No,No
2600031,No,No,No,No
2600250,No,No,No,No
2600025,No,No,No,No
2600494,No,No,No,No
18108352,No,No,No,No
2600079,No,No,No,No
2600340,No,No,No,No
18461339,No,No,No,No
2600010,No,No,No,No
2600230,No,No,No,No
2600003,No,No,No,No
2600303,No,No,No,No
2600180,No,No,No,No
2600393,No,No,No,No
2600007,No,No,No,No
2900587,No,No,No,No
2900354,No,No,No,No
2900633,No,No,No,No
18408676,No,No,No,No
2900234,No,No,No,No
2900550,No,No,No,No
18362677,No,No,No,No
2900044,No,No,No,No
2900469,No,No,No,No
2900219,No,No,No,No
2900473,No,No,No,No
2900020,No,No,No,No
2900562,No,No,No,No
18413814,No,No,No,No
18235390,No,No,No,No
2900640,No,No,No,No
18271459,No,No,No,No
18377283,No,No,No,No
18408600,No,No,No,No
2900012,No,No,No,No
18436042,No,No,No,No
122003,No,Yes,Yes,No
121552,No,No,No,No
121214,No,Yes,No,No
121553,No,No,No,No
121312,No,No,No,No
121335,No,No,No,No
120014,No,No,No,No
123125,No,No,No,No
120221,No,No,No,No
122064,No,Yes,No,No
120203,No,No,No,No
120219,No,No,No,No
121425,No,Yes,No,No
123010,No,Yes,No,No
123294,No,No,No,No
121120,No,No,No,No
122940,No,Yes,No,No
122830,No,No,No,No
69024,Yes,Yes,No,No
72475,Yes,Yes,No,No
70431,Yes,Yes,No,No
71443,Yes,Yes,No,No
73088,Yes,Yes,No,No
18423075,No,Yes,No,No
70890,No,No,No,No
71492,No,No,No,No
70092,Yes,Yes,No,No
70393,Yes,Yes,No,No
70894,Yes,No,No,No
73279,No,Yes,No,No
69951,Yes,Yes,No,No
72497,Yes,Yes,No,No
65413,Yes,Yes,No,No
70497,Yes,Yes,No,No
65055,No,No,No,No
18384227,No,No,No,No
72604,No,No,No,No
66457,Yes,No,No,No
18260777,No,Yes,No,No
3000107,No,No,No,No
3000132,No,Yes,No,No
3000122,No,Yes,No,No
3001032,No,No,No,No
3000021,No,Yes,No,No
18434000,No,No,No,No
3000195,No,No,No,No
3000126,No,No,No,No
18280306,No,Yes,No,No
3001489,No,No,No,No
3000770,No,Yes,No,No
3000062,No,No,No,No
3000016,No,No,No,No
3000014,No,No,No,No
3000001,No,No,No,No
3001321,No,Yes,No,No
3000996,No,No,No,No
3001065,No,No,No,No
3000048,No,No,No,No
3500012,No,No,No,No
3500007,No,No,No,No
3500017,No,No,No,No
3500018,No,No,No,No
3500011,No,No,No,No
18416632,No,No,No,No
18279289,No,No,No,No
18408585,No,No,No,No
3500059,No,No,No,No
3500081,No,No,No,No
17971273,No,No,No,No
3500365,No,No,No,No
3500013,No,No,No,No
3500024,No,No,No,No
3500488,No,No,No,No
3500505,No,No,No,No
3500010,No,No,No,No
3500414,No,No,No,No
18440677,No,No,No,No
3500484,No,No,No,No
301728,No,No,No,No
5992,No,No,No,No
301730,No,No,No,No
301729,No,No,No,No
301731,No,No,No,No
311053,No,No,No,No
9299,No,No,No,No
9178,No,No,No,No
18477319,No,No,No,No
18433852,No,No,No,No
304046,No,No,No,No
309936,No,No,No,No
309927,No,No,No,No
18377449,No,No,No,No
18465871,No,No,No,No
18472646,No,No,No,No
18037826,No,Yes,No,No
301163,No,No,No,No
4931,No,No,No,No
1804,No,Yes,No,No
312102,No,Yes,No,No
18217857,No,Yes,No,No
18471268,No,No,No,No
18381244,No,No,No,No
18408041,No,No,No,No
311051,No,Yes,No,No
18133510,No,No,No,No
308380,No,Yes,No,No
6077,No,No,No,No
308082,No,Yes,No,No
309558,No,Yes,No,No
8128,Yes,No,No,No
304062,No,No,No,No
9785,No,No,No,No
312514,No,No,No,No
308961,Yes,No,No,No
308963,No,No,No,No
308962,Yes,No,No,No
8169,No,No,No,No
309368,Yes,No,No,No
18472429,No,No,No,No
18472418,No,No,No,No
18472426,No,No,No,No
18450934,No,No,No,No
6025,No,No,No,No
6013,No,No,No,No
8153,No,No,No,No
18471296,No,No,No,No
18279477,No,No,No,No
18359331,No,No,No,No
301151,No,No,No,No
18204479,No,Yes,No,No
2198,Yes,No,No,No
18434243,No,No,No,No
18273628,No,No,No,No
18471262,No,No,No,No
18258480,Yes,Yes,No,No
9698,No,No,No,No
8326,No,No,No,No
18270379,No,Yes,No,No
304006,No,No,No,No
308957,Yes,Yes,No,No
18427216,No,No,No,No
18433315,No,No,No,No
8266,No,No,No,No
18383469,No,Yes,No,No
1367,No,No,No,No
9650,No,No,No,No
308335,No,No,No,No
18391065,No,Yes,No,No
301193,No,No,No,No
18107832,No,Yes,No,No
18089254,No,No,No,No
312981,No,No,No,No
18082235,No,No,No,No
18138421,No,No,No,No
18421965,No,No,No,No
303267,No,No,No,No
7471,No,No,No,No
18219542,No,Yes,No,No
18355112,No,Yes,No,No
18270895,Yes,No,No,No
18313839,No,No,No,No
5005,No,No,No,No
1820,No,No,No,No
3863,No,No,No,No
9814,No,No,No,No
18474912,No,No,No,No
18161568,No,No,No,No
18416829,No,No,No,No
18400756,No,Yes,No,No
301177,No,No,No,No
6161,No,No,No,No
2565,No,No,No,No
3866,No,No,No,No
18250288,No,Yes,No,No
1430,No,No,No,No
18393702,No,Yes,No,No
6152,No,No,No,No
306962,No,No,No,No
18445360,No,No,No,No
6150,No,No,No,No
18421024,Yes,No,No,No
18471260,No,No,No,No
18367316,No,No,No,No
18466931,No,No,No,No
18466420,No,No,No,No
18464607,No,No,No,No
18464631,No,No,No,No
301170,No,No,No,No
18466939,No,No,No,No
18380180,No,No,No,No
18466407,No,No,No,No
304001,No,No,No,No
8319,No,No,No,No
303871,No,Yes,No,No
8321,No,No,No,No
311047,No,No,No,No
8320,No,No,No,No
8308,No,No,No,No
18303717,No,No,No,No
304004,No,Yes,No,No
18472625,Yes,Yes,No,No
18420432,No,No,No,No
9824,No,Yes,No,No
8029,No,No,No,No
312788,No,No,No,No
309672,No,No,No,No
18359861,No,No,No,No
18439547,No,No,No,No
18241538,No,No,No,No
18452730,No,No,No,No
18317486,No,No,No,No
18432933,No,No,No,No
18452267,No,No,No,No
18466980,No,No,No,No
18469937,No,No,No,No
18466937,Yes,No,No,No
18433879,No,No,No,No
18369105,No,Yes,No,No
18133473,No,No,No,No
18458540,No,No,No,No
18482753,No,No,No,No
8167,No,No,No,No
18463990,No,No,No,No
18353030,No,No,No,No
18420465,No,Yes,No,No
309656,No,No,No,No
305235,No,No,No,No
309654,No,No,No,No
18480389,No,No,No,No
18446428,No,No,No,No
4462,No,No,No,No
18469962,No,No,No,No
18380284,No,No,No,No
1414,No,Yes,No,No
304112,No,No,No,No
18472443,No,No,No,No
18456807,No,No,No,No
18471284,No,No,No,No
18471328,No,No,No,No
18204478,No,No,No,No
18444264,Yes,No,No,No
9224,No,No,No,No
8054,No,No,No,No
304114,No,No,No,No
1413,Yes,No,No,No
1715,No,No,No,No
4464,No,No,No,No
5010,No,No,No,No
301127,No,No,No,No
9233,No,No,No,No
18471246,No,No,No,No
18446082,No,No,No,No
18396398,No,No,No,No
18471244,No,No,No,No
18367078,No,No,No,No
18469976,No,No,No,No
18381643,No,No,No,No
18471327,No,No,No,No
18469936,No,No,No,No
18433895,No,No,No,No
313089,No,No,No,No
18349251,No,No,No,No
18344478,No,No,No,No
18089775,No,No,No,No
18424179,No,No,No,No
309632,No,No,No,No
312874,No,No,No,No
18107870,No,No,No,No
18237362,No,No,No,No
18277177,No,No,No,No
18345740,No,No,No,No
18472651,No,No,No,No
313076,No,No,No,No
18380159,No,No,No,No
18377907,No,No,No,No
18292444,No,No,No,No
307084,No,No,No,No
305618,No,Yes,No,No
307803,No,No,No,No
18419654,No,No,No,No
18471285,No,No,No,No
313040,No,Yes,No,No
17982346,No,No,No,No
18204501,No,No,No,No
1823,No,No,No,No
6143,No,No,No,No
8297,No,No,No,No
8318,No,No,No,No
18458631,No,No,No,No
18382355,No,No,No,No
312842,No,Yes,No,No
312084,No,No,No,No
18247033,No,No,No,No
18126118,No,Yes,No,No
18429393,No,No,No,No
18241905,No,No,No,No
18425750,No,Yes,No,No
18261694,No,No,No,No
18365998,No,No,No,No
18273572,No,Yes,No,No
18363078,No,Yes,No,No
18356019,No,No,No,No
312688,No,No,No,No
18381668,No,No,No,No
18287397,No,No,No,No
18294253,No,No,No,No
18471304,No,No,No,No
8026,No,No,No,No
18265697,No,No,No,No
307151,No,No,No,No
18107844,No,No,No,No
18337896,No,Yes,No,No
18261699,No,No,No,No
18306531,No,No,No,No
303571,No,No,No,No
8099,No,No,No,No
18477428,No,No,No,No
8037,No,No,No,No
18471308,No,No,No,No
18471318,No,No,No,No
18471320,No,No,No,No
18460293,No,No,No,No
18446418,No,No,No,No
9496,No,No,No,No
312967,No,No,No,No
18449815,No,No,No,No
2680,No,No,No,No
2679,Yes,No,No,No
8417,Yes,No,No,No
309757,No,No,No,No
307903,No,No,No,No
313502,No,Yes,No,No
18409175,No,Yes,No,No
18456342,No,No,No,No
18244229,No,No,No,No
300713,Yes,No,No,No
8623,No,Yes,No,No
1318,No,Yes,No,No
311523,No,Yes,No,No
8590,No,No,No,No
8583,No,No,No,No
300756,Yes,No,No,No
4239,No,No,No,No
18168161,No,No,No,No
18381223,No,No,No,No
18034077,No,No,No,No
3824,No,Yes,No,No
2572,No,Yes,No,No
8595,No,No,No,No
309702,No,Yes,No,No
8601,No,No,No,No
1683,Yes,Yes,No,No
301670,No,No,No,No
17953902,No,Yes,No,No
130409,No,No,No,No
130275,No,No,No,No
130332,No,No,No,No
130230,No,No,No,No
16519268,No,No,No,No
