Restaurant ID,Aggregate rating,Rating color,Rating text,Votes
6700475,4.8,Dark Green,Excellent,59
6713413,4.6,Dark Green,Excellent,30
6714340,3.9,Yellow,Good,5
6710645,0,White,Not rated,0
6700402,3.4,Orange,Average,73
6700846,3.5,Yellow,Good,9
6702159,4.3,Green,Very Good,39
6711666,3.9,Yellow,Good,12
6701257,4.3,Green,Very Good,68
6706211,4.3,Green,Very Good,46
6705858,4.4,Green,Very Good,37
6701419,0,White,Not rated,2
6703956,0,White,Not rated,2
6709580,4.4,Green,Very Good,22
6703176,4.6,Dark Green,Excellent,58
6713772,4.1,Green,Very Good,11
17284404,3.3,Orange,Average,35
17284203,3.3,Orange,Average,25
17284105,3.4,Orange,Average,34
17284302,3.4,Orange,Average,45
17284397,3.4,Orange,Average,26
17284211,3.4,Orange,Average,36
17284094,3.5,Yellow,Good,67
17284409,3.9,Yellow,Good,141
17284139,3.7,Yellow,Good,147
17284403,3.5,Yellow,Good,51
17284145,3.6,Yellow,Good,88
17284150,3.8,Yellow,Good,153
17284158,3.9,Yellow,Good,160
17284175,3.5,Yellow,Good,57
17284179,3.5,Yellow,Good,58
17284197,3.6,Yellow,Good,115
17284241,3.5,Yellow,Good,51
17284390,3.8,Yellow,Good,250
17284279,3.7,Yellow,Good,117
17284364,3.4,Orange,Average,20
16611114,3.5,Yellow,Good,25
17293281,4.5,Dark Green,Excellent,1821
17293301,4.5,Dark Green,Excellent,849
17293409,4.6,Dark Green,Excellent,917
17293163,3.9,Yellow,Good,439
17293228,3.7,Yellow,Good,289
17293880,4.3,Green,Very Good,558
17293169,4.2,Green,Very Good,613
17293186,4,Green,Very Good,353
17293180,4.1,Green,Very Good,387
17293205,4.3,Green,Very Good,755
17293229,4.2,Green,Very Good,800
17293897,4.1,Green,Very Good,350
17293273,4.1,Green,Very Good,464
17293870,4.2,Green,Very Good,550
17293877,4.1,Green,Very Good,543
17293890,4.1,Green,Very Good,465
17293915,4.4,Green,Very Good,546
17293422,4.4,Green,Very Good,1098
17293873,4.2,Green,Very Good,579
17294014,4.1,Green,Very Good,374
17294556,4.6,Dark Green,Excellent,717
17294607,4.9,Dark Green,Excellent,548
17294279,4.5,Dark Green,Excellent,631
17294300,3.9,Yellow,Good,372
17295215,3.9,Yellow,Good,201
17295028,3.8,Yellow,Good,332
17294642,3.5,Yellow,Good,304
17295109,4.3,Green,Very Good,368
17294441,4.1,Green,Very Good,430
17294552,4.4,Green,Very Good,433
17294565,4,Green,Very Good,380
17294623,4,Green,Very Good,456
17294712,4.2,Green,Very Good,647
17295033,4,Green,Very Good,360
17295069,4,Green,Very Good,227
17294261,3.9,Yellow,Good,290
17295115,4.1,Green,Very Good,270
17294836,4,Green,Very Good,326
17294850,4.3,Green,Very Good,317
17294883,4.2,Green,Very Good,300
16608864,3.2,Orange,Average,21
16604911,4.6,Dark Green,Excellent,237
17303465,4.5,Dark Green,Excellent,879
17303642,4.6,Dark Green,Excellent,615
17303670,4.5,Dark Green,Excellent,879
17303545,3.9,Yellow,Good,379
17303655,4.3,Green,Very Good,303
17304691,4.1,Green,Very Good,538
17303478,4.2,Green,Very Good,334
17303480,4.3,Green,Very Good,555
17304733,4.4,Green,Very Good,823
17303646,4.1,Green,Very Good,550
17304929,4.4,Green,Very Good,650
17303684,4.3,Green,Very Good,410
17303772,4.4,Green,Very Good,660
17305123,4.4,Green,Very Good,360
17303787,4,Green,Very Good,340
17303990,4.1,Green,Very Good,393
17304741,4.3,Green,Very Good,422
17304726,4,Green,Very Good,435
17304486,4,Green,Very Good,369
17304533,4.4,Green,Very Good,487
17316233,3.7,Yellow,Good,98
17315883,4.1,Green,Very Good,365
17315995,4.1,Green,Very Good,190
17316018,4.1,Green,Very Good,429
17316038,4.4,Green,Very Good,430
17316771,4.2,Green,Very Good,186
17316201,4.2,Green,Very Good,220
17316208,4.2,Green,Very Good,347
17316389,3.8,Yellow,Good,161
17316278,4.1,Green,Very Good,160
17316744,4.9,Dark Green,Excellent,820
17316751,4.5,Dark Green,Excellent,488
17316766,3.6,Yellow,Good,253
17316743,3.8,Yellow,Good,220
17316374,4.3,Green,Very Good,485
17316381,4.3,Green,Very Good,428
17316802,4.1,Green,Very Good,294
17316416,4,Green,Very Good,380
17316449,4.2,Green,Very Good,259
17316603,4.7,Dark Green,Excellent,433
16659169,3.7,Yellow,Good,176
17558684,4.3,Green,Very Good,96
18366580,3.1,Orange,Average,6
17330755,3.3,Orange,Average,33
17330611,4.6,Dark Green,Excellent,489
17330609,4.5,Dark Green,Excellent,345
17330024,3.8,Yellow,Good,149
17330074,3.9,Yellow,Good,330
17330185,3.9,Yellow,Good,247
17330397,3.7,Yellow,Good,123
17330735,3.6,Yellow,Good,109
17330676,3.7,Yellow,Good,134
17330048,4.2,Green,Very Good,722
17330604,4.3,Green,Very Good,213
17330087,4,Green,Very Good,335
17330137,4,Green,Very Good,353
17330155,4,Green,Very Good,170
17330309,4.1,Green,Very Good,192
17330311,4.1,Green,Very Good,302
17330615,4.2,Green,Very Good,355
17330638,4.3,Green,Very Good,287
17330628,4,Green,Very Good,264
17330546,4.4,Green,Very Good,235
16643459,3,Orange,Average,6
17334434,3.7,Yellow,Good,38
17334348,4.4,Green,Very Good,122
17334213,4.4,Green,Very Good,207
17334355,3.9,Yellow,Good,66
17334212,4.9,Dark Green,Excellent,249
17333797,3.8,Yellow,Good,63
17334217,3.8,Yellow,Good,145
17334273,3.8,Yellow,Good,83
17334254,3.7,Yellow,Good,116
17333836,4.1,Green,Very Good,122
17334197,4.1,Green,Very Good,142
17333882,4.1,Green,Very Good,114
17334211,4.6,Dark Green,Excellent,214
17334390,4.3,Green,Very Good,116
17334034,4.2,Green,Very Good,111
17334414,3.7,Yellow,Good,25
17334082,4.1,Green,Very Good,128
17334364,4.3,Green,Very Good,244
17334398,4.2,Green,Very Good,112
17334219,4.1,Green,Very Good,144
17335173,4.6,Dark Green,Excellent,166
17335195,4.5,Dark Green,Excellent,208
17335225,3.9,Yellow,Good,136
17335219,4,Green,Very Good,85
17334965,4.1,Green,Very Good,117
17335189,3.4,Orange,Average,53
17335156,4.9,Dark Green,Excellent,474
17334717,3.9,Yellow,Good,125
17334752,3.7,Yellow,Good,201
18453427,0,White,Not rated,2
17793744,0,White,Not rated,3
17334679,4.3,Green,Very Good,167
17334718,4,Green,Very Good,112
17334763,4.1,Green,Very Good,256
17335158,4.3,Green,Very Good,123
17334782,4,Green,Very Good,199
17334846,4.1,Green,Very Good,157
17334853,4.1,Green,Very Good,100
17335168,4.2,Green,Very Good,141
17334958,4.2,Green,Very Good,197
17258496,4.5,Dark Green,Excellent,1025
17259395,4.9,Dark Green,Excellent,570
17258350,4.5,Dark Green,Excellent,674
17258136,4.1,Green,Very Good,496
17258522,4,Green,Very Good,411
17259958,3.2,Orange,Average,113
17258036,4.5,Dark Green,Excellent,1109
17259368,4.6,Dark Green,Excellent,728
17257684,4.4,Green,Very Good,659
17258154,4.2,Green,Very Good,370
17259340,4.3,Green,Very Good,532
17259243,4.8,Dark Green,Excellent,860
17259625,4.2,Green,Very Good,943
17259169,4.1,Green,Very Good,476
17259166,4.1,Green,Very Good,218
17259335,4,Green,Very Good,214
17259248,4.3,Green,Very Good,699
17258552,3.8,Yellow,Good,308
17259550,4,Green,Very Good,157
17259200,4.2,Green,Very Good,530
16615894,3.6,Yellow,Good,29
17342816,3.4,Orange,Average,33
17342498,3.3,Orange,Average,40
17342648,3.4,Orange,Average,153
17342781,3.3,Orange,Average,65
17342799,3.4,Orange,Average,58
17342772,3.5,Yellow,Good,100
17342771,3.6,Yellow,Good,156
17342548,3.5,Yellow,Good,74
17342556,3.6,Yellow,Good,117
17342811,3.7,Yellow,Good,83
17342576,3.6,Yellow,Good,48
17342770,3.8,Yellow,Good,198
17342585,3.5,Yellow,Good,126
17342494,3.5,Yellow,Good,119
17342594,3.6,Yellow,Good,140
17342625,3.6,Yellow,Good,159
17342652,3.6,Yellow,Good,131
17342665,3.5,Yellow,Good,60
17342810,3.7,Yellow,Good,89
17342775,3.6,Yellow,Good,72
16612028,4.1,Green,Very Good,56
17536645,3.7,Yellow,Good,83
16613507,3.5,Yellow,Good,37
16607969,3.7,Yellow,Good,29
17374405,4.4,Green,Very Good,239
17375060,4.1,Green,Very Good,235
17375164,3.8,Yellow,Good,88
17374552,3.9,Yellow,Good,209
17375078,3.9,Yellow,Good,133
17375049,4.4,Green,Very Good,267
17375077,4.1,Green,Very Good,171
17375141,3.8,Yellow,Good,107
17375198,4.3,Green,Very Good,164
17375180,4.1,Green,Very Good,182
17375072,4.9,Dark Green,Excellent,681
17375047,4.6,Dark Green,Excellent,357
17375074,3.8,Yellow,Good,89
17374921,4.2,Green,Very Good,350
17374819,4.3,Green,Very Good,298
17375089,4.2,Green,Very Good,319
17375214,3.8,Yellow,Good,114
17374951,3.9,Yellow,Good,136
17374978,2.2,Red,Poor,108
17375104,4,Green,Very Good,161
16604358,3.8,Yellow,Good,192
16604896,3.8,Yellow,Good,93
16612550,4.1,Green,Very Good,40
16606299,3.7,Yellow,Good,100
16605794,3.8,Yellow,Good,97
17557488,3.6,Yellow,Good,41
17452342,4.5,Dark Green,Excellent,799
16611498,3.6,Yellow,Good,18
17842104,3.5,Yellow,Good,31
17501291,3.9,Yellow,Good,146
17500759,4.9,Dark Green,Excellent,478
17500767,4.6,Dark Green,Excellent,467
17500819,4.5,Dark Green,Excellent,302
17500911,4.5,Dark Green,Excellent,289
17501439,3.8,Yellow,Good,102
17501279,4.1,Green,Very Good,293
17500695,4,Green,Very Good,195
17501298,4.3,Green,Very Good,244
17500847,4.2,Green,Very Good,379
17500872,4.2,Green,Very Good,223
17501315,3.7,Yellow,Good,243
17501201,3.7,Yellow,Good,104
17501247,3.7,Yellow,Good,153
17501281,3.8,Yellow,Good,323
17501143,4.1,Green,Very Good,181
17501292,4,Green,Very Good,316
17501308,4.2,Green,Very Good,288
17501301,4,Green,Very Good,232
17501268,4.1,Green,Very Good,314
16611701,2.9,Orange,Average,11
17482142,2.4,Red,Poor,17
16609169,3.8,Yellow,Good,176
17606621,3.4,Orange,Average,11
17687832,3.6,Yellow,Good,65
16613059,2.4,Red,Poor,193
17534788,3.6,Yellow,Good,30
17061237,4.4,Green,Very Good,981
17057397,4.5,Dark Green,Excellent,1151
17058534,4.7,Dark Green,Excellent,1341
17060320,4.3,Green,Very Good,782
17057925,4.6,Dark Green,Excellent,1293
17060869,4.6,Dark Green,Excellent,2324
17057591,4.3,Green,Very Good,910
17059541,4.4,Green,Very Good,886
17064266,4.6,Dark Green,Excellent,1293
17064405,4.4,Green,Very Good,570
17060516,4.4,Green,Very Good,1685
17059012,4.8,Dark Green,Excellent,1699
17061296,4.9,Dark Green,Excellent,1457
17061205,4.9,Dark Green,Excellent,1252
17064031,4.7,Dark Green,Excellent,1412
17066603,3.6,Yellow,Good,432
17057797,4.2,Green,Very Good,568
17061253,4.4,Green,Very Good,797
17059060,4.4,Green,Very Good,1158
17061231,4.4,Green,Very Good,1998
16613649,4.4,Green,Very Good,381
18255631,2.6,Orange,Average,16
16608483,3.4,Orange,Average,19
17580453,4.2,Green,Very Good,635
17580142,4.9,Dark Green,Excellent,2238
17580160,4.6,Dark Green,Excellent,792
17580349,4.5,Dark Green,Excellent,828
17580412,3.7,Yellow,Good,292
17580590,3.9,Yellow,Good,502
17580704,3.7,Yellow,Good,559
17579928,4.2,Green,Very Good,1268
17579992,4.1,Green,Very Good,669
17580030,4.4,Green,Very Good,900
17580074,4.3,Green,Very Good,765
17580020,4,Green,Very Good,1270
17580350,4.1,Green,Very Good,502
17580408,3.9,Yellow,Good,724
17579653,3.5,Yellow,Good,479
17580476,4.2,Green,Very Good,591
17580422,4.4,Green,Very Good,1408
17580539,4.3,Green,Very Good,905
17580511,4.7,Dark Green,Excellent,816
17580021,4.4,Green,Very Good,747
16604370,3.7,Yellow,Good,351
17582467,3.7,Yellow,Good,104
17582668,3.5,Yellow,Good,83
17582498,3.6,Yellow,Good,91
17582499,3.6,Yellow,Good,59
17582522,3.7,Yellow,Good,222
17582524,3.6,Yellow,Good,121
17582527,3.5,Yellow,Good,93
17582551,3.8,Yellow,Good,136
17582558,3.8,Yellow,Good,160
17582560,3.7,Yellow,Good,152
17582677,3.5,Yellow,Good,57
17582670,3.7,Yellow,Good,191
17582625,3.6,Yellow,Good,85
17582627,3.6,Yellow,Good,108
17582700,3.6,Yellow,Good,132
17582664,3.8,Yellow,Good,141
17582682,3.7,Yellow,Good,162
17582669,3.6,Yellow,Good,144
18491935,0,White,Not rated,1
17582546,4.1,Green,Very Good,365
17629582,3.3,Orange,Average,9
17211719,4,Green,Very Good,542
17144717,4.5,Dark Green,Excellent,691
17143970,4.7,Dark Green,Excellent,764
17142698,4.7,Dark Green,Excellent,707
17144991,4.5,Dark Green,Excellent,487
17142519,4.5,Dark Green,Excellent,695
17145408,4.2,Green,Very Good,485
17143336,4.2,Green,Very Good,807
17145077,4.6,Dark Green,Excellent,723
17141447,4.2,Green,Very Good,874
17142096,4.4,Green,Very Good,552
17142297,4.3,Green,Very Good,1056
17142535,4.3,Green,Very Good,707
17142792,4.9,Dark Green,Excellent,1343
17145495,4.9,Dark Green,Excellent,602
17143950,4.6,Dark Green,Excellent,1078
17142747,3.9,Yellow,Good,232
17141990,4.4,Green,Very Good,1492
17144732,4,Green,Very Good,535
17143282,4.2,Green,Very Good,531
17143705,4.2,Green,Very Good,694
17615915,3.3,Orange,Average,1201
17616487,4.7,Dark Green,Excellent,906
17615924,4.6,Dark Green,Excellent,880
17615979,4.5,Dark Green,Excellent,1014
17616266,4.5,Dark Green,Excellent,796
17615976,3.7,Yellow,Good,747
17616025,3.8,Yellow,Good,566
17615597,4.1,Green,Very Good,683
17615740,4.4,Green,Very Good,690
17616203,4.2,Green,Very Good,680
17616590,4.1,Green,Very Good,287
17615855,4.1,Green,Very Good,802
17616348,4.3,Green,Very Good,710
17616368,4.3,Green,Very Good,456
17616400,4,Green,Very Good,687
17616076,4.3,Green,Very Good,719
17616205,4.4,Green,Very Good,1803
17616222,4.1,Green,Very Good,558
17616295,3.8,Yellow,Good,883
17616465,3.9,Yellow,Good,309
18483372,3.4,Orange,Average,34
18484349,4,Green,Very Good,33
18496057,3.8,Yellow,Good,33
18483389,3.1,Orange,Average,34
18483222,3.8,Yellow,Good,35
18483085,3.9,Yellow,Good,33
18484423,4.2,Green,Very Good,29
18483714,4.1,Green,Very Good,35
18485469,3.2,Orange,Average,29
18479690,3.2,Orange,Average,30
18483224,3.7,Yellow,Good,33
18493989,3,Orange,Average,25
18484464,3.8,Yellow,Good,30
18483051,3.9,Yellow,Good,34
18482983,3.1,Orange,Average,33
18479742,3.2,Orange,Average,32
18482938,3.2,Orange,Average,30
18483082,3.8,Yellow,Good,28
18483446,3.9,Yellow,Good,35
18483252,3.2,Orange,Average,33
17621616,3.7,Yellow,Good,100
17621696,3.6,Yellow,Good,92
17621744,3.8,Yellow,Good,182
17621759,3.6,Yellow,Good,76
17621763,3.7,Yellow,Good,129
17621780,3.6,Yellow,Good,94
17621781,3.8,Yellow,Good,129
17621788,3.8,Yellow,Good,178
17621793,3.7,Yellow,Good,97
17621796,3.9,Yellow,Good,161
17621831,3.7,Yellow,Good,122
17621832,3.8,Yellow,Good,195
17621833,3.7,Yellow,Good,146
17621834,3.7,Yellow,Good,117
17621869,3.8,Yellow,Good,187
17621960,3.9,Yellow,Good,239
17621746,4,Green,Very Good,303
17621755,4,Green,Very Good,280
17621946,4,Green,Very Good,271
17621552,3.5,Yellow,Good,58
17096140,4.6,Dark Green,Excellent,1321
17099925,4.6,Dark Green,Excellent,1629
17092257,4.1,Green,Very Good,921
17092799,4.1,Green,Very Good,986
17095222,4.1,Green,Very Good,1020
17092293,4.7,Dark Green,Excellent,3157
17102241,3.9,Yellow,Good,665
17102579,3.9,Yellow,Good,373
17092801,4.4,Green,Very Good,1007
17093273,4.4,Green,Very Good,803
17096198,4.2,Green,Very Good,1363
17095098,4.9,Dark Green,Excellent,1424
17093135,4.5,Dark Green,Excellent,844
17095236,4.9,Dark Green,Excellent,1413
17095979,4.5,Dark Green,Excellent,1203
17099856,4.7,Dark Green,Excellent,3074
17100307,4.8,Dark Green,Excellent,1715
17093600,4.5,Dark Green,Excellent,1868
17100547,4,Green,Very Good,875
17093124,4.4,Green,Very Good,1746
16608059,4.4,Green,Very Good,339
16605194,4.1,Green,Very Good,87
17678243,3.4,Orange,Average,98
17678043,3.1,Orange,Average,83
17677978,3.9,Yellow,Good,231
17677988,3.7,Yellow,Good,216
17678231,3.8,Yellow,Good,185
17677990,3.7,Yellow,Good,185
17677991,3.8,Yellow,Good,281
17678307,3.7,Yellow,Good,137
17678276,3.7,Yellow,Good,209
17678283,3.7,Yellow,Good,168
17678222,3.9,Yellow,Good,243
17678055,3.8,Yellow,Good,221
17678326,3.5,Yellow,Good,46
17678229,3.9,Yellow,Good,262
17678097,3.7,Yellow,Good,183
17678216,3.5,Yellow,Good,208
17678233,3.8,Yellow,Good,245
17678148,3.8,Yellow,Good,199
17678291,3.8,Yellow,Good,225
17678218,4.1,Green,Very Good,575
17558738,4.3,Green,Very Good,88
16608209,3.6,Yellow,Good,96
16654702,4.3,Green,Very Good,204
17697444,3.2,Orange,Average,18
17696871,3.7,Yellow,Good,134
17696891,3.9,Yellow,Good,190
17696901,3.8,Yellow,Good,136
17697384,3.7,Yellow,Good,113
17697417,3.6,Yellow,Good,69
17696918,3.6,Yellow,Good,89
17696920,3.6,Yellow,Good,80
17697398,3.8,Yellow,Good,175
17697406,3.7,Yellow,Good,136
17696941,3.6,Yellow,Good,114
17696955,3.6,Yellow,Good,93
17696957,3.6,Yellow,Good,89
17697418,3.6,Yellow,Good,69
17697386,3.6,Yellow,Good,86
17697224,3.7,Yellow,Good,73
17697304,3.6,Yellow,Good,104
17697389,3.7,Yellow,Good,101
17697424,3.5,Yellow,Good,58
17697332,3.9,Yellow,Good,156
17694056,3.9,Yellow,Good,156
17559793,3.2,Orange,Average,16
16668008,3.3,Orange,Average,26
18212135,4.6,Dark Green,Excellent,207
5704255,4.6,Dark Green,Excellent,376
5701978,4.4,Green,Very Good,471
5701729,4.3,Green,Very Good,224
5704168,4.2,Green,Very Good,228
18277098,4.6,Dark Green,Excellent,81
5701446,4.1,Green,Very Good,422
5700052,4.4,Green,Very Good,246
5702418,4,Green,Very Good,355
5700386,3.6,Yellow,Good,268
5704202,4.5,Dark Green,Excellent,162
5701052,4,Green,Very Good,205
5704118,4,Green,Very Good,277
5701548,4,Green,Very Good,380
18235425,4.3,Green,Very Good,180
5702615,4,Green,Very Good,525
5703500,4.9,Dark Green,Excellent,216
18253896,4.7,Dark Green,Excellent,201
5701917,4.2,Green,Very Good,435
5702574,4.6,Dark Green,Excellent,586
202321,3.9,Yellow,Good,927
206488,4.1,Green,Very Good,1448
209654,4.3,Green,Very Good,1281
18340881,4.5,Dark Green,Excellent,307
18233284,4.5,Dark Green,Excellent,909
18269368,4.9,Dark Green,Excellent,641
18254160,4.9,Dark Green,Excellent,322
208939,4.8,Dark Green,Excellent,2510
201531,4.5,Dark Green,Excellent,1388
208965,4.5,Dark Green,Excellent,403
208778,4.3,Green,Very Good,1351
209703,4.3,Green,Very Good,661
18381837,4.4,Green,Very Good,281
208850,4.9,Dark Green,Excellent,1352
210134,4.4,Green,Very Good,552
201044,3.2,Orange,Average,506
201340,4.7,Dark Green,Excellent,2424
18289126,4.3,Green,Very Good,386
202507,3.7,Yellow,Good,500
210139,4.3,Green,Very Good,544
5600424,3.9,Yellow,Good,285
5602751,3.8,Yellow,Good,210
5600457,4.1,Green,Very Good,372
5600642,4.3,Green,Very Good,316
18268134,3.9,Yellow,Good,69
18376208,4.1,Green,Very Good,33
5600959,4.1,Green,Very Good,449
5600103,4.2,Green,Very Good,504
5602586,4.1,Green,Very Good,192
5600961,2.4,Red,Poor,154
5600960,4.2,Green,Very Good,142
5601340,4.2,Green,Very Good,444
5600701,4.2,Green,Very Good,265
5601404,3.8,Yellow,Good,227
5600556,3.9,Yellow,Good,357
5602055,4.8,Dark Green,Excellent,459
5601521,4.1,Green,Very Good,197
5602377,4.5,Dark Green,Excellent,143
5602884,3.8,Yellow,Good,12
5602942,4.2,Green,Very Good,43
3400025,3.9,Yellow,Good,140
3400341,3.5,Yellow,Good,71
3400005,3.6,Yellow,Good,94
3400021,4,Green,Very Good,87
3400017,4.2,Green,Very Good,177
3400325,4,Green,Very Good,45
3400059,4.3,Green,Very Good,133
3400060,4,Green,Very Good,41
3400348,3.6,Yellow,Good,59
3400072,3.8,Yellow,Good,46
3400073,3.9,Yellow,Good,103
3400019,4.1,Green,Very Good,121
3400033,3.4,Orange,Average,70
3400346,4.9,Dark Green,Excellent,77
3400350,3.8,Yellow,Good,57
3400391,3.9,Yellow,Good,98
3400016,3.7,Yellow,Good,175
3400105,4.4,Green,Very Good,134
3400326,4.2,Green,Very Good,166
3400392,4.1,Green,Very Good,168
111895,4.2,Green,Very Good,1582
110502,3.7,Yellow,Good,1315
18396250,4.5,Dark Green,Excellent,217
113702,4.1,Green,Very Good,769
113433,4.3,Green,Very Good,731
18438909,4.4,Green,Very Good,113
18143128,4.4,Green,Very Good,944
18438944,3.8,Yellow,Good,63
110436,3.6,Yellow,Good,375
18385201,4.6,Dark Green,Excellent,166
110395,4.4,Green,Very Good,697
18335583,4.3,Green,Very Good,325
110237,3.8,Yellow,Good,432
113537,4.3,Green,Very Good,744
113703,4,Green,Very Good,404
18385186,4.4,Green,Very Good,317
113325,4.5,Dark Green,Excellent,1138
111826,4.1,Green,Very Good,1041
110516,4.1,Green,Very Good,192
18371341,3.9,Yellow,Good,166
113570,4,Green,Very Good,535
2400020,3.4,Orange,Average,57
2400148,3.3,Orange,Average,76
2400019,3.2,Orange,Average,51
2400193,3.4,Orange,Average,99
2400027,3.4,Orange,Average,83
17960073,3.4,Orange,Average,18
2400119,3.4,Orange,Average,58
2400014,3.3,Orange,Average,53
2400403,3.2,Orange,Average,6
2400349,3.4,Orange,Average,35
2400279,3.4,Orange,Average,32
2400017,3.2,Orange,Average,151
18317988,3.3,Orange,Average,49
2400144,3.4,Orange,Average,106
2400195,3.6,Yellow,Good,59
2400052,3.7,Yellow,Good,105
2400016,3.5,Yellow,Good,105
2400293,3.6,Yellow,Good,57
2400009,3.5,Yellow,Good,134
2400010,3.3,Orange,Average,58
2200011,3.4,Orange,Average,345
2200078,3.9,Yellow,Good,151
18204507,4,Green,Very Good,52
2200030,3.4,Orange,Average,122
2200201,3.6,Yellow,Good,56
2200067,3.5,Yellow,Good,91
2200358,3.4,Orange,Average,26
2200001,3.4,Orange,Average,98
2200033,3.5,Yellow,Good,111
2200283,3.6,Yellow,Good,51
2200045,3.9,Yellow,Good,206
2200149,3.4,Orange,Average,44
2200043,3.7,Yellow,Good,94
2200044,3.5,Yellow,Good,461
2200132,3.8,Yellow,Good,276
2200236,3.8,Yellow,Good,71
2200175,4.1,Green,Very Good,104
2200000,4.1,Green,Very Good,878
2200055,3.8,Yellow,Good,192
2200034,3.5,Yellow,Good,96
2200153,4.1,Green,Very Good,140
2500023,3.6,Yellow,Good,240
2500076,3.3,Orange,Average,65
2500054,3.3,Orange,Average,63
2500134,3.1,Orange,Average,19
2500069,3.4,Orange,Average,46
2500256,3.4,Orange,Average,75
2500024,3.4,Orange,Average,94
2500075,3.3,Orange,Average,47
2500029,3.4,Orange,Average,71
2500079,3.6,Yellow,Good,73
2500343,3.5,Yellow,Good,21
2500052,3.3,Orange,Average,46
2500062,3.3,Orange,Average,45
2500056,3.4,Orange,Average,34
2500030,3.7,Yellow,Good,89
2500390,3.2,Orange,Average,8
2500007,3.4,Orange,Average,39
2500123,3.3,Orange,Average,74
2500122,3.3,Orange,Average,76
2500346,3.3,Orange,Average,71
50943,4.1,Green,Very Good,2416
58268,4.7,Dark Green,Excellent,2369
51705,4.8,Dark Green,Excellent,10934
18162866,3.9,Yellow,Good,1354
18407918,4.2,Green,Very Good,231
56464,4,Green,Very Good,3533
18221572,4.3,Green,Very Good,1413
18359919,4.6,Dark Green,Excellent,781
18439634,4.7,Dark Green,Excellent,276
51040,4.7,Dark Green,Excellent,9667
54162,4.1,Green,Very Good,5385
18305628,4.3,Green,Very Good,753
18385443,4.5,Dark Green,Excellent,1288
56618,4.6,Dark Green,Excellent,6907
18353121,4.4,Green,Very Good,983
18366652,4.6,Dark Green,Excellent,627
18430785,4.2,Green,Very Good,334
58882,4.5,Dark Green,Excellent,5705
18422898,3.9,Yellow,Good,405
18339874,4.4,Green,Very Good,754
2600472,3.3,Orange,Average,51
2600514,3.4,Orange,Average,63
2600109,4.9,Dark Green,Excellent,427
2600311,3.9,Yellow,Good,126
2600008,4.2,Green,Very Good,223
2600031,4,Green,Very Good,257
2600250,4,Green,Very Good,103
2600025,4.1,Green,Very Good,118
2600494,3.8,Yellow,Good,98
18108352,3.8,Yellow,Good,33
2600079,3.5,Yellow,Good,175
2600340,3.6,Yellow,Good,111
18461339,3.6,Yellow,Good,20
2600010,4.1,Green,Very Good,103
2600230,4.4,Green,Very Good,243
2600003,4.1,Green,Very Good,238
2600303,4.3,Green,Very Good,128
